[2017-03-06 16:37:32]WorkStatu [rcvTime=2017-03-06 16:19:23.680, imei=800000000000040, msgTime=2017-03-06 16:18:55.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:32]WorkStatu [rcvTime=2017-03-06 16:19:12.024, imei=800000000000025, msgTime=2017-03-06 16:18:43.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:32]WorkStatu [rcvTime=2017-03-06 16:18:30.211, imei=800000000000013, msgTime=2017-03-06 16:18:02.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:32]WorkStatu [rcvTime=2017-03-06 16:19:26.555, imei=800000000000016, msgTime=2017-03-06 16:18:58.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:33]WorkStatu [rcvTime=2017-03-06 16:19:18.086, imei=800000000000025, msgTime=2017-03-06 16:18:50.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:33]WorkStatu [rcvTime=2017-03-06 16:19:26.633, imei=800000000000048, msgTime=2017-03-06 16:18:58.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:33]WorkStatu [rcvTime=2017-03-06 16:19:32.727, imei=800000000000048, msgTime=2017-03-06 16:19:04.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:33]WorkStatu [rcvTime=2017-03-06 16:19:37.930, imei=800000000000031, msgTime=2017-03-06 16:19:09.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:33]WorkStatu [rcvTime=2017-03-06 16:19:20.102, imei=800000000000025, msgTime=2017-03-06 16:18:52.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:34]WorkStatu [rcvTime=2017-03-06 16:19:26.227, imei=800000000000002, msgTime=2017-03-06 16:18:28.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:35]WorkStatu [rcvTime=2017-03-06 16:19:21.493, imei=800000000000011, msgTime=2017-03-06 16:18:53.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:35]WorkStatu [rcvTime=2017-03-06 16:19:32.961, imei=800000000000008, msgTime=2017-03-06 16:19:04.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:36]WorkStatu [rcvTime=2017-03-06 16:18:48.524, imei=800000000000043, msgTime=2017-03-06 16:18:20.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:36]WorkStatu [rcvTime=2017-03-06 16:19:39.024, imei=800000000000008, msgTime=2017-03-06 16:19:10.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:37]WorkStatu [rcvTime=2017-03-06 16:19:29.774, imei=800000000000040, msgTime=2017-03-06 16:19:01.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:37]WorkStatu [rcvTime=2017-03-06 16:19:04.571, imei=800000000000013, msgTime=2017-03-06 16:18:36.246, pgnId=13, listItem={72=1, 73=0}]
